Variable Name;Variable File;Variable Line;Fault Injection Time(s);Injection Time Interval;Fault Model
i;cooley_tukey.cpp;83;6.063830614089966;0-6;Double bit-flip
n;cooley_tukey.cpp;28;1.9804966449737549;0-6;Double bit-flip
matrix;cooley_tukey.cpp;28;2.3025460243225098;0-6;Double bit-flip
matrix;cooley_tukey.cpp;28;1.767458200454712;0-6;Double bit-flip
i;cooley_tukey.cpp;83;4.344797134399414;0-6;Double bit-flip
n;cooley_tukey.cpp;28;1.7619292736053467;0-6;Double bit-flip
matrix;cooley_tukey.cpp;28;3.0282931327819824;0-6;Double bit-flip
matrix;cooley_tukey.cpp;28;2.7517223358154297;0-6;Double bit-flip
size;cooley_tukey.cpp;53;1.9965555667877197;0-6;Double bit-flip
matrix;cooley_tukey.cpp;66;6.448425769805908;0-6;Double bit-flip
n;cooley_tukey.cpp;28;2.987929344177246;0-6;Double bit-flip
n;cooley_tukey.cpp;28;1.840672492980957;0-6;Double bit-flip
size;cooley_tukey.cpp;53;2.6512227058410645;0-6;Double bit-flip
i;cooley_tukey.cpp;83;4.194164276123047;0-6;Double bit-flip
matrix;cooley_tukey.cpp;28;0.9907271862030029;0-6;Double bit-flip
cs;../sysdeps/ieee754/dbl-64/s_sin.c;152;2.058067560195923;0-6;Double bit-flip
matrix;cooley_tukey.cpp;28;3.450118064880371;0-6;Double bit-flip
n;cooley_tukey.cpp;28;1.3333258628845215;0-6;Double bit-flip
size;cooley_tukey.cpp;53;6.100275754928589;0-6;Double bit-flip
matrix;cooley_tukey.cpp;28;1.7416398525238037;0-6;Double bit-flip
matrix;cooley_tukey.cpp;28;2.829681873321533;0-6;Double bit-flip
i;cooley_tukey.cpp;83;3.723644495010376;0-6;Double bit-flip
i;cooley_tukey.cpp;35;3.5631635189056396;0-6;Double bit-flip
n;cooley_tukey.cpp;28;1.6541023254394531;0-6;Double bit-flip
matrix;cooley_tukey.cpp;66;2.030747175216675;0-6;Double bit-flip
matrix;cooley_tukey.cpp;28;0.7650222778320312;0-6;Double bit-flip
n;cooley_tukey.cpp;28;1.9313912391662598;0-6;Double bit-flip
i;cooley_tukey.cpp;83;4.309755325317383;0-6;Double bit-flip
matrix;cooley_tukey.cpp;28;2.5178020000457764;0-6;Double bit-flip
n;cooley_tukey.cpp;28;2.447723865509033;0-6;Double bit-flip
n;cooley_tukey.cpp;28;1.3025448322296143;0-6;Double bit-flip
n;cooley_tukey.cpp;28;1.1075122356414795;0-6;Double bit-flip
i;cooley_tukey.cpp;83;5.550881624221802;0-6;Double bit-flip
i;cooley_tukey.cpp;83;4.698016166687012;0-6;Double bit-flip
i;cooley_tukey.cpp;83;5.740978002548218;0-6;Double bit-flip
size;cooley_tukey.cpp;53;3.0296883583068848;0-6;Double bit-flip
matrix;cooley_tukey.cpp;28;3.4499614238739014;0-6;Double bit-flip
i;cooley_tukey.cpp;83;4.272568702697754;0-6;Double bit-flip
n;cooley_tukey.cpp;28;2.916661500930786;0-6;Double bit-flip
n;cooley_tukey.cpp;28;1.9719083309173584;0-6;Double bit-flip
matrix;cooley_tukey.cpp;28;2.081026792526245;0-6;Double bit-flip
size;cooley_tukey.cpp;53;4.863548517227173;0-6;Double bit-flip
matrix;cooley_tukey.cpp;28;1.9279706478118896;0-6;Double bit-flip
size;cooley_tukey.cpp;53;3.5244429111480713;0-6;Double bit-flip
n;cooley_tukey.cpp;28;1.9249272346496582;0-6;Double bit-flip
matrix;cooley_tukey.cpp;28;1.1704010963439941;0-6;Double bit-flip
matrix;cooley_tukey.cpp;28;2.0377254486083984;0-6;Double bit-flip
n;cooley_tukey.cpp;28;2.7653191089630127;0-6;Double bit-flip
matrix;cooley_tukey.cpp;28;1.6548821926116943;0-6;Double bit-flip
x;../sysdeps/ieee754/dbl-64/s_sincos.c;62;2.0142624378204346;0-6;Double bit-flip
matrix;cooley_tukey.cpp;28;1.03346586227417;0-6;Double bit-flip
matrix;cooley_tukey.cpp;28;2.865593910217285;0-6;Double bit-flip
size;cooley_tukey.cpp;53;4.437715291976929;0-6;Double bit-flip
matrix;cooley_tukey.cpp;28;3.2334372997283936;0-6;Double bit-flip
matrix;cooley_tukey.cpp;66;5.995611667633057;0-6;Double bit-flip
matrix;cooley_tukey.cpp;66;0.9784636497497559;0-6;Double bit-flip
n;cooley_tukey.cpp;28;3.202252149581909;0-6;Double bit-flip
matrix;cooley_tukey.cpp;11;2.395784378051758;0-6;Double bit-flip
size;cooley_tukey.cpp;53;3.6216907501220703;0-6;Double bit-flip
matrix;cooley_tukey.cpp;66;5.63204026222229;0-6;Double bit-flip
i;cooley_tukey.cpp;83;5.6245622634887695;0-6;Double bit-flip
matrix;cooley_tukey.cpp;28;2.105320930480957;0-6;Double bit-flip
size;cooley_tukey.cpp;53;3.7527148723602295;0-6;Double bit-flip
matrix;cooley_tukey.cpp;28;1.6621918678283691;0-6;Double bit-flip
n;cooley_tukey.cpp;28;0.5897345542907715;0-6;Double bit-flip
size;cooley_tukey.cpp;53;5.631568193435669;0-6;Double bit-flip
matrix;cooley_tukey.cpp;28;1.6771328449249268;0-6;Double bit-flip
evens;cooley_tukey.cpp;38;2.726954936981201;0-6;Double bit-flip
size;cooley_tukey.cpp;53;1.6379704475402832;0-6;Double bit-flip
n;cooley_tukey.cpp;28;2.042581796646118;0-6;Double bit-flip
__x;/usr/include/c++/6/complex;386;2.483452558517456;0-6;Double bit-flip
n;cooley_tukey.cpp;28;1.5046360492706299;0-6;Double bit-flip
n;cooley_tukey.cpp;28;1.5645709037780762;0-6;Double bit-flip
matrix;cooley_tukey.cpp;66;3.3537943363189697;0-6;Double bit-flip
n;cooley_tukey.cpp;28;3.032024383544922;0-6;Double bit-flip
i;cooley_tukey.cpp;83;5.919488906860352;0-6;Double bit-flip
size;cooley_tukey.cpp;53;4.962613821029663;0-6;Double bit-flip
i;cooley_tukey.cpp;83;4.985893249511719;0-6;Double bit-flip
matrix;cooley_tukey.cpp;28;0.8402504920959473;0-6;Double bit-flip
x;../sysdeps/ieee754/dbl-64/s_sincos.c;62;2.4114716053009033;0-6;Double bit-flip
matrix;cooley_tukey.cpp;28;2.9204893112182617;0-6;Double bit-flip
n;cooley_tukey.cpp;28;1.4542903900146484;0-6;Double bit-flip
size;cooley_tukey.cpp;53;4.569748163223267;0-6;Double bit-flip
n;cooley_tukey.cpp;28;1.1944639682769775;0-6;Double bit-flip
n;cooley_tukey.cpp;28;3.2176551818847656;0-6;Double bit-flip
sinix;s_cexp.c;40;1.2530739307403564;0-6;Double bit-flip
i;cooley_tukey.cpp;83;4.330833196640015;0-6;Double bit-flip
i;cooley_tukey.cpp;83;5.578040838241577;0-6;Double bit-flip
matrix;cooley_tukey.cpp;66;6.017331123352051;0-6;Double bit-flip
matrix;cooley_tukey.cpp;28;1.3401992321014404;0-6;Double bit-flip
i;cooley_tukey.cpp;83;3.350189447402954;0-6;Double bit-flip
n;cooley_tukey.cpp;28;1.6124203205108643;0-6;Double bit-flip
matrix;cooley_tukey.cpp;28;3.1644487380981445;0-6;Double bit-flip
n;cooley_tukey.cpp;28;2.586622953414917;0-6;Double bit-flip
matrix;cooley_tukey.cpp;28;1.6527087688446045;0-6;Double bit-flip
position;cooley_tukey.cpp;68;0.30803537368774414;0-6;Double bit-flip
matrix;cooley_tukey.cpp;28;2.0147931575775146;0-6;Double bit-flip
i;cooley_tukey.cpp;83;3.949716567993164;0-6;Double bit-flip
size;cooley_tukey.cpp;53;6.076632499694824;0-6;Double bit-flip
i;cooley_tukey.cpp;83;4.433096408843994;0-6;Double bit-flip
size;cooley_tukey.cpp;53;3.149019479751587;0-6;Double bit-flip
n;cooley_tukey.cpp;28;1.302116870880127;0-6;Double bit-flip
i;cooley_tukey.cpp;83;5.957067966461182;0-6;Double bit-flip
n;cooley_tukey.cpp;28;1.552821397781372;0-6;Double bit-flip
n;cooley_tukey.cpp;28;1.524341106414795;0-6;Double bit-flip
size;cooley_tukey.cpp;53;4.454320669174194;0-6;Double bit-flip
n;cooley_tukey.cpp;28;2.1983649730682373;0-6;Double bit-flip
i;cooley_tukey.cpp;83;5.611170530319214;0-6;Double bit-flip
size;cooley_tukey.cpp;53;3.4489059448242188;0-6;Double bit-flip
n;cooley_tukey.cpp;28;3.232447624206543;0-6;Double bit-flip
i;cooley_tukey.cpp;83;5.708754301071167;0-6;Double bit-flip
matrix;cooley_tukey.cpp;66;6.237560749053955;0-6;Double bit-flip
size;cooley_tukey.cpp;53;5.241051197052002;0-6;Double bit-flip
size;cooley_tukey.cpp;53;5.8676393032073975;0-6;Double bit-flip
n;cooley_tukey.cpp;28;1.3863401412963867;0-6;Double bit-flip
size;cooley_tukey.cpp;53;1.8823590278625488;0-6;Double bit-flip
i;cooley_tukey.cpp;83;4.77983832359314;0-6;Double bit-flip
matrix;cooley_tukey.cpp;28;1.317612648010254;0-6;Double bit-flip
matrix;cooley_tukey.cpp;28;3.040456533432007;0-6;Double bit-flip
matrix;cooley_tukey.cpp;66;4.330922365188599;0-6;Double bit-flip
odds;cooley_tukey.cpp;39;1.9670462608337402;0-6;Double bit-flip
size;cooley_tukey.cpp;53;4.178089380264282;0-6;Double bit-flip
i;cooley_tukey.cpp;83;4.031342506408691;0-6;Double bit-flip
this;cooley_tukey.cpp;0;1.1584386825561523;0-6;Double bit-flip
size;cooley_tukey.cpp;53;5.877608299255371;0-6;Double bit-flip
n;cooley_tukey.cpp;28;2.5935888290405273;0-6;Double bit-flip
matrix;cooley_tukey.cpp;28;1.529526710510254;0-6;Double bit-flip
i;cooley_tukey.cpp;83;3.492398977279663;0-6;Double bit-flip
matrix;cooley_tukey.cpp;66;4.096922397613525;0-6;Double bit-flip
n;cooley_tukey.cpp;28;3.7891733646392822;0-6;Double bit-flip
i;cooley_tukey.cpp;35;1.737290382385254;0-6;Double bit-flip
size;cooley_tukey.cpp;53;2.8881704807281494;0-6;Double bit-flip
matrix;cooley_tukey.cpp;28;1.210336685180664;0-6;Double bit-flip
matrix;cooley_tukey.cpp;28;3.3290910720825195;0-6;Double bit-flip
n;cooley_tukey.cpp;28;2.32045316696167;0-6;Double bit-flip
evens;cooley_tukey.cpp;38;3.583420753479004;0-6;Double bit-flip
size;cooley_tukey.cpp;53;4.41810417175293;0-6;Double bit-flip
this;cooley_tukey.cpp;0;2.2166507244110107;0-6;Double bit-flip
matrix;cooley_tukey.cpp;28;3.565371513366699;0-6;Double bit-flip
i;cooley_tukey.cpp;83;4.811527729034424;0-6;Double bit-flip
sinix;s_cexp.c;40;3.252232313156128;0-6;Double bit-flip
size;cooley_tukey.cpp;53;3.762176990509033;0-6;Double bit-flip
n;cooley_tukey.cpp;28;1.544149398803711;0-6;Double bit-flip
n;cooley_tukey.cpp;28;3.2047836780548096;0-6;Double bit-flip
matrix;cooley_tukey.cpp;66;5.9426023960113525;0-6;Double bit-flip
size;cooley_tukey.cpp;53;5.166192293167114;0-6;Double bit-flip
matrix;cooley_tukey.cpp;28;1.5729379653930664;0-6;Double bit-flip
x;../sysdeps/ieee754/dbl-64/s_sin.c;298;2.971609115600586;0-6;Double bit-flip
i;cooley_tukey.cpp;83;3.5499141216278076;0-6;Double bit-flip
twiddle;cooley_tukey.cpp;40;1.1563236713409424;0-6;Double bit-flip
size;cooley_tukey.cpp;53;5.616263151168823;0-6;Double bit-flip
__y;/usr/include/c++/6/complex;356;1.4309501647949219;0-6;Double bit-flip
n;cooley_tukey.cpp;28;3.261148452758789;0-6;Double bit-flip
i;cooley_tukey.cpp;83;3.529575824737549;0-6;Double bit-flip
size;cooley_tukey.cpp;53;4.956982374191284;0-6;Double bit-flip
sf;vsnprintf.c;96;6.251202821731567;0-6;Double bit-flip
matrix;cooley_tukey.cpp;28;2.760559320449829;0-6;Double bit-flip
i;cooley_tukey.cpp;35;1.0648632049560547;0-6;Double bit-flip
matrix;cooley_tukey.cpp;28;0.9305238723754883;0-6;Double bit-flip
n;cooley_tukey.cpp;28;2.369675636291504;0-6;Double bit-flip
