bitflips:;4010
SDCs:;1395
Crashes:;212
Simultaneous SDCs and Crashes:;0

FaultModels SDCs:
FaultModel ;#SDCs; percentage
Single bit-flip;1395;100.0

FaultModels Crashes:
FaultModel ;#Crashes; percentage
Single bit-flip;212;15.197132616487455

Variables that caused SDCs:
PVF ;#flips ;#SDCs ;Var name ;file ;line number
100.0;1;1;wakeup_fd;../Modules/signalmodule.c;112
100.0;1;1;_PyExc_StopIteration.lto_priv.2034;../Objects/exceptions.c;530
100.0;1;1;kws;../Python/ceval.c;3791
100.0;1;1;builtin_compile__doc__;../Python/clinic/bltinmodule.c.h;131
100.0;1;1;PyId___bytes__;../Objects/object.c;12
100.0;1;1;Suite_fields;../Python/Python-ast.c;25
3.571428571428571;28;1;line;cooley_tukey.c;55
25.0;4;1;co;../Python/ceval.c;810
100.0;1;1;mod;../Objects/longobject.c;3459
100.0;1;1;import_doc;../Python/bltinmodule.c;217
50.0;2;1;_PyMem;../Objects/obmalloc.c;177
3.571428571428571;28;1;__GI__dl_argv;rtld.c;83
100.0;1;1;is_tripped;../Modules/signalmodule.c;116
100.0;1;1;cf;../Modules/main.c;344
100.0;1;1;_Py_M__importlib_external;../Python/importlib_external.h;2
100.0;1;1;builtin_oct__doc__;../Python/clinic/bltinmodule.c.h;464
100.0;1;1;seq;../Objects/listobject.c;2769
100.0;1;1;signalmodule;../Modules/signalmodule.c;1181
100.0;1;1;CSWTCH.287;<artificial>;0
100.0;1;1;initialized;../Modules/signalmodule.c;924
100.0;1;1;fp;../Modules/main.c;334
16.666666666666664;6;1;matrix;cooley_tukey.c;6
100.0;1;1;real;../Objects/complexobject.c;905
100.0;1;1;signal_pause__doc__;../Modules/clinic/signalmodule.c.h;41
100.0;1;1;gil_drop_request;../Python/ceval.c;293
100.0;1;1;signal_pthread_sigmask__doc__;../Modules/clinic/signalmodule.c.h;234
100.0;1;1;signal_getsignal__doc__;../Modules/clinic/signalmodule.c.h;96
